Options(calls=         contractSymbol       lastTradeDate  strike  lastPrice     bid     ask    change  percentChange   volume  openInterest  impliedVolatility  inTheMoney contractSize currency
21  MSFT210430P00220000 2021-04-27 19:54:55   220.0       0.03   0.01   0.05 -0.040000     -57.142853    284.0          1637           0.656253       False      REGULAR      USD
22  MSFT210430P00222500 2021-04-27 19:58:58   222.5       0.05   0.03   0.05 -0.040000     -44.444447   1213.0          1212           0.640629       False      REGULAR      USD
23  MSFT210430P00225000 2021-04-27 19:58:34   225.0       0.05   0.05   0.08 -0.040000     -44.444447    413.0          1467           0.640629       False      REGULAR      USD
24  MSFT210430P00227500 2021-04-27 19:58:31   227.5       0.07   0.05   0.08 -0.030000     -30.000002   1327.0          1102           0.599613       False      REGULAR      USD
25  MSFT210430P00230000 2021-04-27 19:57:01   230.0       0.06   0.07   0.10 -0.070000     -53.846150   1763.0          2791           0.580082       False      REGULAR      USD
26  MSFT210430P00232500 2021-04-27 19:58:32   232.5       0.09   0.09   0.10 -0.060000     -40.000000   1443.0          2051           0.546880       False      REGULAR      USD
27  MSFT210430P00235000 2021-04-27 19:59:15   235.0       0.12   0.11   0.12 -0.050000     -29.411766   3360.0          2220           0.519536       False      REGULAR      USD
28  MSFT210430P00237500 2021-04-27 19:59:52   237.5       0.16   0.08   0.18 -0.050000     -23.809523   1346.0          1577           0.513677       False      REGULAR      USD
29  MSFT210430P00240000 2021-04-27 19:59:19   240.0       0.19   0.18   0.19 -0.070000     -26.923075   2500.0          3668           0.472662       False      REGULAR      USD
30  MSFT210430P00242500 2021-04-27 19:59:35   242.5       0.24   0.24   0.25 -0.100000     -29.411766   1723.0          1516           0.449224       False      REGULAR      USD
31  MSFT210430P00245000 2021-04-27 19:59:53   245.0       0.31   0.30   0.37 -0.140000     -31.111109  10357.0          5977           0.437506       False      REGULAR      USD
32  MSFT210430P00247500 2021-04-27 19:59:37   247.5       0.51   0.45   0.51 -0.120000     -19.047619   3967.0          2818           0.418463       False      REGULAR      USD
33  MSFT210430P00250000 2021-04-27 19:59:53   250.0       0.67   0.67   0.69 -0.180000     -21.176472  11981.0          5769           0.396490       False      REGULAR      USD
34  MSFT210430P00252500 2021-04-27 19:59:54   252.5       1.00   0.92   1.06 -0.220000     -18.032790   6328.0          2914           0.391364       False      REGULAR      USD
35  MSFT210430P00255000 2021-04-27 19:59:54   255.0       1.56   1.51   1.72 -0.240000     -13.333334   7008.0          3719           0.402594       False      REGULAR      USD
36  MSFT210430P00257500 2021-04-27 19:59:59   257.5       2.26   2.15   2.39 -0.240000      -9.600000   7005.0          4276           0.392462       False      REGULAR      USD
37  MSFT210430P00260000 2021-04-27 19:59:57   260.0       3.21   3.05   3.40 -0.540000     -14.400000   7580.0          4219           0.395758       False      REGULAR      USD
38  MSFT210430P00262500 2021-04-27 19:59:51   262.5       4.36   4.35   4.55 -0.310000      -6.638114   2394.0          1154           0.390875        True      REGULAR      USD
39  MSFT210430P00265000 2021-04-27 19:59:55   265.0       5.55   5.35   6.15 -0.750000     -11.904761    536.0           290           0.406500        True      REGULAR      USD
40  MSFT210430P00267500 2021-04-27 19:56:19   267.5       7.50   6.90   7.75 -0.400000      -5.063293    109.0            71           0.402472        True      REGULAR      USD
41  MSFT210430P00270000 2021-04-27 19:56:54   270.0       8.94   8.55   9.45 -0.870001      -8.868509    330.0            98           0.386481        True      REGULAR      USD
42  MSFT210430P00272500 2021-04-27 19:54:03   272.5      10.67   9.75  11.65 -1.240000     -10.411417     29.0            41           0.410895        True      REGULAR      USD
43  MSFT210430P00275000 2021-04-27 18:00:34   275.0      12.81  11.40  14.10 -1.089999      -7.841721     16.0           141           0.461431        True      REGULAR      USD
44  MSFT210430P00277500 2021-04-27 19:25:04   277.5      15.70  13.50  17.30 -0.830001      -5.021179      6.0            19           0.616215        True      REGULAR      USD
45  MSFT210430P00280000 2021-04-27 17:45:26   280.0      18.68  15.80  19.50 -0.070000      -0.373332     10.0            14           0.631351        True      REGULAR      USD
46  MSFT210430P00282500 2021-04-27 13:41:00   282.5      21.80  18.30  22.25  0.240000       1.113171      1.0             2           0.722171        True      REGULAR      USD
47  MSFT210430P00285000 2021-04-27 19:04:20   285.0      23.30  20.80  24.85 -1.010000      -4.154670      1.0            13           0.790774        True      REGULAR      USD
48  MSFT210430P00300000 2021-04-12 16:00:17   300.0      42.70  35.80  40.30  0.000000       0.000000      1.0            67           1.161625        True      REGULAR      USD
49  MSFT210430P00305000 2021-04-19 04:01:29   305.0      45.25  40.80  45.00  0.000000       0.000000      NaN             3           1.204106        True      REGULAR      USD
50  MSFT210430P00310000 2021-04-27 17:45:40   310.0      48.60  45.85  49.10  0.199997       0.413217      2.0             4           1.105473        True      REGULAR      USD
51  MSFT210430P00315000 2021-04-20 18:30:17   315.0      54.50  50.85  55.20 -3.000000      -5.217391      5.0             1           1.414554        True      REGULAR      USD
52  MSFT210430P00320000 2021-04-20 17:24:15   320.0      62.35  55.80  59.80  0.000000       0.000000      NaN             1           1.419681        True      REGULAR      USD)
